agent_ID,parameters_ID,order_cost,leadtime,mean_gap
195,10,360,8,0.10870418654202821
196,10,360,8,0.05521843599193775
197,10,360,8,0.2729457584733137
198,10,360,8,11.22291686699843
199,10,360,8,0.09562110267204774
200,10,360,8,0.44825089464551104
201,11,1280,0,0.0453141561739281
202,11,1280,0,0.05189611097763172
203,11,1280,0,0.06485602353895922
204,11,1280,0,0.07745419627775954
205,11,1280,0,15.926178693640862
206,11,1280,0,0.015583729141144352
207,11,1280,0,0.026008637852661647
208,11,1280,0,0.035262384368760974
209,11,1280,0,0.07956789657244315
210,11,1280,0,0.21009823187789314
211,11,1280,0,0.06731087977149157
212,11,1280,0,15.928757626360204
213,11,1280,0,15.934098748912696
214,11,1280,0,0.036892395066437315
215,11,1280,0,0.04418686192396867
216,11,1280,0,0.0421277342782588
217,11,1280,0,0.07181263807273265
218,11,1280,0,1.9567516246400949
219,11,1280,0,0.07846037360330978
220,11,1280,0,15.92837903716407
221,12,1280,1,0.044849918528154384
222,12,1280,1,0.03187609180740092
223,12,1280,1,0.008888016176268944
224,12,1280,1,0.03974366279020853
225,12,1280,1,0.009583089780846264
226,12,1280,1,0.03489000626977163
227,12,1280,1,0.02943310733635619
228,12,1280,1,0.015276248234423752
229,12,1280,1,0.04243240683385403
230,12,1280,1,0.03562831527004239
231,12,1280,1,0.0308926902196657
232,12,1280,1,0.10639633255887404
233,12,1280,1,0.014192613287408841
234,12,1280,1,15.647229280575784
235,12,1280,1,15.645271229368289
236,12,1280,1,0.037743719565290816
237,12,1280,1,0.0620705521754487
238,12,1280,1,0.04259962990140212
239,12,1280,1,0.021283669567254415
240,12,1280,1,0.031058613686939997
241,13,1280,2,0.05757143771360105
242,13,1280,2,0.03603956472505125
243,13,1280,2,0.055547076989493724
244,13,1280,2,0.033934040738662616
245,13,1280,2,0.011399834260695187
246,13,1280,2,0.07167263554252487
247,13,1280,2,0.023966121499215808
248,13,1280,2,0.04719777201721282
249,13,1280,2,0.008471529010272028
250,13,1280,2,0.05504917083587658
251,13,1280,2,15.315367680496918
252,13,1280,2,0.02448706453987738
253,13,1280,2,0.03118650562922257
254,13,1280,2,0.0335799699817514
255,13,1280,2,0.05311260000325638
256,13,1280,2,0.036636170238637814
257,13,1280,2,0.029403559827846693
258,13,1280,2,0.03783525309439812
259,13,1280,2,0.4050127871549822
260,13,1280,2,0.037082394232827144
261,14,1280,4,0.040046505040311965
262,14,1280,4,0.02922815801729618
263,14,1280,4,14.183021056860511
264,14,1280,4,0.0788953299656798
265,14,1280,4,0.34761802631179284
266,14,1280,4,0.10190831917208536
267,14,1280,4,14.422799762570785
268,14,1280,4,0.05995182319289221
269,14,1280,4,14.183697425793785
270,14,1280,4,0.20587607835918467
271,14,1280,4,0.19830122362963795
272,14,1280,4,0.03743974195671931
273,14,1280,4,14.185775958137414
274,14,1280,4,0.11262027699612967
275,14,1280,4,0.04232189583082908
276,14,1280,4,0.08732158555987832
277,14,1280,4,0.026076813131048183
278,14,1280,4,14.18420665701574
279,14,1280,4,0.024798411059650177
280,14,1280,4,0.044613725161031195
281,15,1280,8,0.25805770930909716
282,15,1280,8,1.0194006924685914
283,15,1280,8,0.9693985573968761
284,15,1280,8,2.0334171748545904
285,15,1280,8,0.24818348722920797
286,15,1280,8,0.1537499275649824
287,15,1280,8,0.10920357984468289
288,15,1280,8,0.6388237215727258
289,15,1280,8,0.14100784271388547
290,15,1280,8,10.801600587889169
291,15,1280,8,0.4895742534260598
292,15,1280,8,1.3264802035090757
293,15,1280,8,0.32486139021488525
294,15,1280,8,10.803961862572166
295,15,1280,8,0.27363119869960667
296,15,1280,8,10.803967729139195
297,15,1280,8,10.800487541798464
298,15,1280,8,0.8817735997988514
299,15,1280,8,10.802242121559177
300,15,1280,8,0.30853895719814084
